AERONET Data Download (Version 3 Direct Sun and Inversion Algorithms)
AERONET Version 3
Manaus_EMBRAPA
Version 3: Almucantar Level 1.5 Inversion
The following data are cloud cleared and quality controls have been applied but these data may not have final calibration applied.  These data may change.
All Points,Contact: PI=Paulo_Artaxo; PI Email=artaxo@if.usp.br 
AERONET_Site,Date(dd:mm:yyyy),Time(hh:mm:ss),Day_of_Year,Day_of_Year(Fraction),Absorption_AOD[440nm],Absorption_AOD[675nm],Absorption_AOD[870nm],Absorption_AOD[1020nm],Absorption_Angstrom_Exponent_440-870nm,Average_Solar_Zenith_Angles_for_Flux_Calculation(Degrees),Solar_Zenith_Angle_for_Measurement_Start(Degrees),Sky_Residual(%),Sun_Residual(%),Coincident_AOD440nm,Scattering_Angle_Bin_3.2_to_<6_degrees[440nm],Scattering_Angle_Bin_6_to_<30_degrees[440nm],Scattering_Angle_Bin_30_to_<80_degrees[440nm],Scattering_Angle_Bin_80_degrees_and_over[440nm],Scattering_Angle_Bin_3.2_to_<6_degrees[675nm],Scattering_Angle_Bin_6_to_<30_degrees[675nm],Scattering_Angle_Bin_30_to_<80_degrees[675nm],Scattering_Angle_Bin_80_degrees_and_over[675nm],Scattering_Angle_Bin_3.2_to_<6_degrees[870nm],Scattering_Angle_Bin_6_to_<30_degrees[870nm],Scattering_Angle_Bin_30_to_<80_degrees[870nm],Scattering_Angle_Bin_80_degrees_and_over[870nm],Scattering_Angle_Bin_3.2_to_<6_degrees[1020nm],Scattering_Angle_Bin_6_to_<30_degrees[1020nm],Scattering_Angle_Bin_30_to_<80_degrees[1020nm],Scattering_Angle_Bin_80_degrees_and_over[1020nm],Surface_Albedo[440m],Surface_Albedo[675m],Surface_Albedo[870m],Surface_Albedo[1020m],If_Retrieval_is_L2(without_L2_0.4_AOD_440_threshold),If_AOD_is_L2,Last_Processing_Date(dd:mm:yyyy),Last_Processing_Time(hh:mm:ss),Instrument_Number,Latitude(Degrees),Longitude(Degrees),Elevation(m),Inversion_Data_Quality_Level,Retrieval_Measurement_Scan_Type
Manaus_EMBRAPA,09:01:2018,20:15:34,9,9.844144,0.000720,0.000706,0.001441,0.001665,-0.904301,63.781991,63.094831,13.901589,0.258558,0.066479,3,6,7,3,2,3,6,3,1,1,8,1,2,2,7,1,0.027350,0.040860,0.360800,0.357090,0,1,28:08:2021,11:52:35,931,-2.890528,-59.969778,115.000000,lev15,Almucantar
Manaus_EMBRAPA,02:06:2018,19:43:34,153,153.821921,0.027578,0.016183,0.012584,0.010382,1.165242,61.144468,60.481100,5.583924,0.200151,0.099219,3,10,5,4,3,10,2,5,3,10,2,3,2,9,5,4,0.030710,0.041800,0.343370,0.343320,0,1,13:02:2021,05:22:50,186,-2.890528,-59.969778,115.000000,lev15,Almucantar
Manaus_EMBRAPA,02:06:2018,20:30:39,153,153.854618,0.009238,0.005719,0.005240,0.004938,0.864995,71.699664,71.020661,3.286844,0.076865,0.070722,4,10,7,6,4,10,7,5,4,10,7,5,4,10,7,5,0.035510,0.048000,0.384770,0.382430,1,1,13:02:2021,05:23:20,186,-2.890528,-59.969778,115.000000,lev15,Almucantar
Manaus_EMBRAPA,02:06:2018,20:52:54,153,153.870069,0.006364,0.003984,0.003839,0.003417,0.781043,76.752006,76.069514,4.338136,0.089247,0.062635,4,9,6,6,4,9,6,6,4,10,7,6,4,9,6,6,0.039070,0.052580,0.415000,0.410850,1,1,13:02:2021,05:23:00,186,-2.890528,-59.969778,115.000000,lev15,Almucantar
Manaus_EMBRAPA,11:06:2018,20:31:43,162,162.855359,0.001104,0.000726,0.000566,0.000482,0.983898,71.730767,71.056909,4.402909,0.082798,0.101838,4,8,3,3,4,7,2,2,4,7,1,1,4,8,1,1,0.033710,0.046520,0.384590,0.382370,0,1,13:02:2021,06:01:01,186,-2.890528,-59.969778,115.000000,lev15,Almucantar
Manaus_EMBRAPA,12:06:2018,12:19:53,163,163.513808,0.001473,0.000767,0.000565,0.000484,1.424851,58.836442,59.489122,7.689202,0.117969,0.110686,4,10,7,5,4,9,5,5,3,8,5,4,2,8,6,5,0.028130,0.039510,0.336850,0.339020,0,1,13:02:2021,06:56:27,186,-2.890528,-59.969778,115.000000,lev15,Almucantar
Manaus_EMBRAPA,12:06:2018,20:31:43,163,163.855359,0.007254,0.004269,0.003982,0.003544,0.920462,71.696716,71.023274,4.383012,0.108172,0.108352,4,10,7,6,4,10,7,6,4,10,7,6,4,10,7,6,0.033620,0.046420,0.383900,0.382200,1,1,13:02:2021,06:57:19,186,-2.890528,-59.969778,115.000000,lev15,Almucantar
Manaus_EMBRAPA,12:06:2018,20:54:16,163,163.871019,0.012153,0.007749,0.007276,0.006499,0.786487,76.777168,76.099834,5.380906,0.062004,0.107456,4,8,6,6,4,8,6,6,4,9,6,6,4,9,6,6,0.037020,0.050800,0.414740,0.411760,0,1,13:02:2021,06:56:57,186,-2.890528,-59.969778,115.000000,lev15,Almucantar
Manaus_EMBRAPA,13:06:2018,12:19:58,164,164.513866,0.002035,0.001266,0.001071,0.000934,0.962847,58.882192,59.534535,2.705925,0.137980,0.109107,4,10,7,4,4,10,6,3,3,11,6,3,3,10,5,4,0.028120,0.039510,0.336980,0.339150,1,1,13:02:2021,07:02:55,186,-2.890528,-59.969778,115.000000,lev15,Almucantar
Manaus_EMBRAPA,13:06:2018,12:47:57,164,164.533299,0.000765,0.000494,0.000381,0.000326,1.025222,52.885702,53.519958,2.790524,0.200106,0.107535,3,10,8,4,3,10,8,4,4,10,8,4,4,10,8,4,0.026620,0.037510,0.322330,0.324710,1,1,13:02:2021,07:03:00,186,-2.890528,-59.969778,115.000000,lev15,Almucantar
Manaus_EMBRAPA,13:06:2018,13:01:57,164,164.543021,0.000776,0.000501,0.000389,0.000332,1.017464,49.958508,50.580952,3.533271,0.195403,0.108982,3,10,8,4,3,10,8,4,3,10,8,4,2,10,8,4,0.026030,0.036720,0.316490,0.319010,1,1,13:02:2021,07:02:41,186,-2.890528,-59.969778,115.000000,lev15,Almucantar
Manaus_EMBRAPA,14:06:2018,12:20:01,165,165.513900,0.000681,0.000436,0.000337,0.000288,1.036708,58.933528,59.585601,3.584432,0.320742,0.117168,4,10,5,3,3,11,4,2,3,9,1,2,3,6,2,1,0.028130,0.039540,0.337130,0.339290,0,1,13:02:2021,06:17:33,186,-2.890528,-59.969778,115.000000,lev15,Almucantar
Manaus_EMBRAPA,14:06:2018,12:48:00,165,165.533333,0.000681,0.000433,0.000334,0.000285,1.052304,52.939592,53.573572,3.045655,0.254567,0.112034,3,10,8,4,3,10,8,4,4,10,8,4,4,10,8,4,0.026630,0.037520,0.322430,0.324820,1,1,13:02:2021,06:17:34,186,-2.890528,-59.969778,115.000000,lev15,Almucantar
Manaus_EMBRAPA,14:06:2018,13:02:03,165,165.543090,0.001016,0.000622,0.000486,0.000417,1.092852,50.003351,50.625470,3.677886,0.217474,0.113980,3,10,8,4,3,10,8,4,3,10,8,4,3,10,8,4,0.026040,0.036740,0.316620,0.319090,1,1,13:02:2021,06:17:26,186,-2.890528,-59.969778,115.000000,lev15,Almucantar
Manaus_EMBRAPA,15:06:2018,12:48:21,166,166.533576,0.000728,0.000455,0.000345,0.000291,1.097858,52.927991,53.561519,4.077475,0.535354,0.140537,3,10,8,4,3,10,8,3,4,10,5,4,4,10,6,4,0.026620,0.037520,0.322330,0.324800,1,1,13:02:2021,07:11:51,186,-2.890528,-59.969778,115.000000,lev15,Almucantar
Manaus_EMBRAPA,15:06:2018,13:02:17,166,166.543252,0.000687,0.000427,0.000325,0.000275,1.104948,50.018111,50.639842,2.978264,0.271114,0.135073,3,10,8,4,3,10,8,4,3,10,8,4,3,10,8,4,0.026040,0.036730,0.316560,0.319120,1,1,13:02:2021,07:12:01,186,-2.890528,-59.969778,115.000000,lev15,Almucantar
Manaus_EMBRAPA,15:06:2018,19:16:06,166,166.802847,0.000645,0.000408,0.000315,0.000269,1.058557,54.975116,54.336696,4.227552,0.388672,0.112427,4,10,8,4,4,10,4,4,4,6,3,4,4,6,1,4,0.027220,0.038110,0.325290,0.326440,0,1,13:02:2021,07:12:30,186,-2.890528,-59.969778,115.000000,lev15,Almucantar
Manaus_EMBRAPA,15:06:2018,19:44:13,166,166.822373,0.005011,0.003163,0.002549,0.002203,1.004212,61.049966,60.394812,3.400780,0.116669,0.110853,3,10,8,5,3,10,8,5,3,10,8,5,3,10,8,5,0.028940,0.040350,0.341190,0.341580,1,1,13:02:2021,07:12:46,186,-2.890528,-59.969778,115.000000,lev15,Almucantar
Manaus_EMBRAPA,15:06:2018,20:31:59,166,166.855544,0.004973,0.003235,0.002711,0.002381,0.905453,71.643181,70.970695,3.760802,0.100369,0.116866,4,10,7,6,4,10,7,6,4,10,7,6,4,10,7,6,0.033680,0.046400,0.383730,0.381940,1,1,13:02:2021,07:12:42,186,-2.890528,-59.969778,115.000000,lev15,Almucantar
Manaus_EMBRAPA,15:06:2018,20:56:32,166,166.872593,0.008037,0.005466,0.004645,0.004078,0.817416,77.167985,76.491318,4.888381,0.059463,0.121088,4,8,6,6,4,8,6,6,4,8,6,6,4,9,7,6,0.037370,0.051250,0.417960,0.414430,1,1,13:02:2021,07:12:48,186,-2.890528,-59.969778,115.000000,lev15,Almucantar
Manaus_EMBRAPA,15:08:2018,13:06:54,227,227.546458,0.054430,0.051112,0.046541,0.041961,0.221986,46.388977,47.082006,5.650185,1.121478,0.225244,4,10,8,3,4,10,8,3,4,10,8,3,4,10,8,2,0.025920,0.038340,0.320630,0.323140,0,1,13:02:2021,23:49:20,186,-2.890528,-59.969778,115.000000,lev15,Almucantar
