AERONET Data Download (Version 3 Direct Sun and Inversion Algorithms)
AERONET Version 3
Sao_Paulo
Version 3: Almucantar Level 1.5 Inversion
The following data are cloud cleared and quality controls have been applied but these data may not have final calibration applied.  These data may change.
All Points,Contact: PI=Paulo_Artaxo; PI Email=artaxo@if.usp.br 
AERONET_Site,Date(dd:mm:yyyy),Time(hh:mm:ss),Day_of_Year,Day_of_Year(Fraction),Absorption_AOD[440nm],Absorption_AOD[675nm],Absorption_AOD[870nm],Absorption_AOD[1020nm],Absorption_Angstrom_Exponent_440-870nm,Average_Solar_Zenith_Angles_for_Flux_Calculation(Degrees),Solar_Zenith_Angle_for_Measurement_Start(Degrees),Sky_Residual(%),Sun_Residual(%),Coincident_AOD440nm,Scattering_Angle_Bin_3.2_to_<6_degrees[440nm],Scattering_Angle_Bin_6_to_<30_degrees[440nm],Scattering_Angle_Bin_30_to_<80_degrees[440nm],Scattering_Angle_Bin_80_degrees_and_over[440nm],Scattering_Angle_Bin_3.2_to_<6_degrees[675nm],Scattering_Angle_Bin_6_to_<30_degrees[675nm],Scattering_Angle_Bin_30_to_<80_degrees[675nm],Scattering_Angle_Bin_80_degrees_and_over[675nm],Scattering_Angle_Bin_3.2_to_<6_degrees[870nm],Scattering_Angle_Bin_6_to_<30_degrees[870nm],Scattering_Angle_Bin_30_to_<80_degrees[870nm],Scattering_Angle_Bin_80_degrees_and_over[870nm],Scattering_Angle_Bin_3.2_to_<6_degrees[1020nm],Scattering_Angle_Bin_6_to_<30_degrees[1020nm],Scattering_Angle_Bin_30_to_<80_degrees[1020nm],Scattering_Angle_Bin_80_degrees_and_over[1020nm],Surface_Albedo[440m],Surface_Albedo[675m],Surface_Albedo[870m],Surface_Albedo[1020m],If_Retrieval_is_L2(without_L2_0.4_AOD_440_threshold),If_AOD_is_L2,Last_Processing_Date(dd:mm:yyyy),Last_Processing_Time(hh:mm:ss),Instrument_Number,Latitude(Degrees),Longitude(Degrees),Elevation(m),Inversion_Data_Quality_Level,Retrieval_Measurement_Scan_Type
Sao_Paulo,02:07:2024,13:23:12,184,184.557778,0.023323,0.013849,0.012978,0.011957,0.897667,53.032802,53.386534,2.158427,0.052869,0.113893,3,10,8,4,3,10,8,4,3,9,5,4,4,10,4,4,0.050090,0.097470,0.184660,0.194990,0,0,22:09:2024,10:53:24,1120,-23.561500,-46.734983,786.000000,lev15,Almucantar
Sao_Paulo,02:07:2024,14:22:33,184,184.598993,0.021406,0.011310,0.011112,0.009778,1.017503,47.808194,47.982249,1.086607,0.059058,0.091747,4,10,8,3,4,10,8,3,4,10,8,3,4,10,7,4,0.049300,0.095580,0.180480,0.191270,0,0,22:09:2024,10:37:06,1120,-23.561500,-46.734983,786.000000,lev15,Almucantar
Sao_Paulo,02:07:2024,18:22:12,184,184.765417,0.029298,0.013617,0.012710,0.010926,1.284678,66.176165,65.660983,2.205701,0.022916,0.095503,4,10,7,6,4,10,7,6,3,10,7,6,3,10,7,6,0.053730,0.105570,0.201260,0.208620,0,0,22:09:2024,10:41:34,1120,-23.561500,-46.734983,786.000000,lev15,Almucantar
Sao_Paulo,02:07:2024,19:00:11,184,184.791794,0.023578,0.014086,0.012510,0.011126,0.958708,73.005373,72.447424,1.930949,0.091355,0.085044,4,10,7,6,4,10,7,6,4,10,7,5,4,10,7,5,0.056920,0.112700,0.215850,0.221190,0,0,22:09:2024,10:45:49,1120,-23.561500,-46.734983,786.000000,lev15,Almucantar
Sao_Paulo,02:07:2024,19:17:56,184,184.804120,0.025318,0.012386,0.011139,0.009753,1.253651,76.361094,75.787775,3.996159,0.025957,0.087550,4,10,7,6,4,10,7,6,4,10,7,5,4,10,7,6,0.059040,0.117430,0.225470,0.229480,0,0,22:09:2024,10:47:29,1120,-23.561500,-46.734983,786.000000,lev15,Almucantar
Sao_Paulo,03:07:2024,12:23:00,185,185.515972,0.030817,0.020277,0.015868,0.013581,0.974447,61.371357,61.849639,2.887560,0.317203,0.193712,3,10,8,5,3,10,8,5,3,3,8,5,3,10,8,5,0.051300,0.100860,0.191370,0.201010,0,0,22:09:2024,05:43:34,1120,-23.561500,-46.734983,786.000000,lev15,Almucantar
Sao_Paulo,03:07:2024,13:23:17,185,185.557836,0.038255,0.018932,0.016048,0.011857,1.313394,52.972910,53.327453,2.029773,0.043820,0.180739,3,10,8,4,3,10,8,4,3,10,8,4,4,10,7,4,0.049510,0.096750,0.182550,0.193170,0,0,22:09:2024,05:48:06,1120,-23.561500,-46.734983,786.000000,lev15,Almucantar
Sao_Paulo,03:07:2024,14:22:44,185,185.599120,0.052553,0.024178,0.020995,0.018003,1.395427,47.727438,47.901832,1.937384,0.103821,0.212853,4,10,8,3,4,10,8,3,4,10,8,3,4,10,8,3,0.048760,0.095000,0.178670,0.189740,0,0,22:09:2024,05:33:11,1120,-23.561500,-46.734983,786.000000,lev15,Almucantar
Sao_Paulo,03:07:2024,19:00:47,185,185.792211,0.024135,0.015609,0.012576,0.010836,0.963048,73.034438,72.475592,7.350571,0.036836,0.231157,4,9,7,6,3,9,2,6,3,10,3,6,4,5,4,5,0.056100,0.111100,0.211830,0.217690,0,0,22:09:2024,05:36:38,1120,-23.561500,-46.734983,786.000000,lev15,Almucantar
Sao_Paulo,03:07:2024,19:19:05,185,185.804919,0.034148,0.016573,0.013118,0.011381,1.433811,76.500678,75.926120,4.634412,0.035143,0.222578,4,10,7,6,4,9,3,6,4,8,2,6,4,7,1,5,0.058190,0.115660,0.221110,0.225750,0,0,22:09:2024,05:38:23,1120,-23.561500,-46.734983,786.000000,lev15,Almucantar
Sao_Paulo,05:07:2024,11:07:58,187,187.463866,0.049730,0.023626,0.019977,0.017931,1.380323,74.499035,75.069036,1.438972,0.010211,0.291971,4,10,7,6,4,10,7,6,4,10,7,6,4,10,6,6,0.056580,0.112680,0.216220,0.223590,0,0,21:09:2024,19:37:56,1120,-23.561500,-46.734983,786.000000,lev15,Almucantar
Sao_Paulo,05:07:2024,11:45:04,187,187.489630,0.051012,0.022044,0.019401,0.017503,1.475394,67.686728,68.219372,1.452462,0.007834,0.295669,4,10,7,5,4,10,7,6,4,10,7,6,4,10,6,6,0.053350,0.105470,0.201110,0.209780,0,0,21:09:2024,19:42:31,1120,-23.561500,-46.734983,786.000000,lev15,Almucantar
Sao_Paulo,05:07:2024,12:23:13,187,187.516123,0.041133,0.022539,0.017690,0.015204,1.255773,61.258423,61.738202,4.398835,0.296825,0.283902,3,10,8,5,3,10,8,5,3,10,8,5,3,10,8,5,0.051270,0.100770,0.191200,0.200880,0,0,21:09:2024,19:47:48,1120,-23.561500,-46.734983,786.000000,lev15,Almucantar
Sao_Paulo,05:07:2024,13:23:48,187,187.558194,0.055548,0.027319,0.023843,0.021113,1.284796,52.793260,53.148631,1.532574,0.029028,0.292149,3,10,8,4,3,10,8,4,3,10,8,4,4,10,7,4,0.049480,0.096680,0.182390,0.193040,0,0,21:09:2024,19:52:38,1120,-23.561500,-46.734983,786.000000,lev15,Almucantar
Sao_Paulo,05:07:2024,14:23:07,187,187.599387,0.065362,0.027892,0.024430,0.022278,1.501323,47.544818,47.719855,1.800738,0.029899,0.315354,4,10,8,3,4,10,8,3,4,10,8,3,4,10,8,3,0.048730,0.094940,0.178550,0.189640,0,0,21:09:2024,19:57:29,1120,-23.561500,-46.734983,786.000000,lev15,Almucantar
Sao_Paulo,05:07:2024,18:22:39,187,187.765729,0.002165,0.001413,0.001104,0.000948,0.989471,65.982729,65.465893,11.930905,0.247846,0.334189,4,8,5,4,3,9,5,3,3,10,1,2,3,5,2,2,0.052900,0.104140,0.197700,0.205600,0,0,21:09:2024,19:39:13,1120,-23.561500,-46.734983,786.000000,lev15,Almucantar
Sao_Paulo,07:07:2024,12:23:22,189,189.516227,0.033754,0.017739,0.010984,0.011253,1.632314,61.133684,61.615207,2.351565,0.033561,0.328358,3,10,8,5,3,10,8,5,3,10,4,5,3,7,5,5,0.051240,0.100700,0.191050,0.200740,0,0,07:07:2024,12:45:35,1120,-23.561500,-46.734983,786.000000,lev15,Almucantar
Sao_Paulo,07:07:2024,14:23:25,189,189.599595,0.033596,0.020154,0.017558,0.015160,0.977549,47.340167,47.516166,2.611226,0.188891,0.238220,4,10,8,3,4,10,8,3,4,10,8,3,4,10,8,3,0.048710,0.094890,0.178420,0.189530,0,0,21:09:2024,09:42:46,1120,-23.561500,-46.734983,786.000000,lev15,Almucantar
Sao_Paulo,17:07:2024,13:25:12,199,199.559167,0.046305,0.023328,0.022443,0.019663,1.119311,51.388712,51.755605,2.394205,0.028689,0.384879,3,10,8,4,3,10,7,4,3,10,7,4,3,10,7,4,0.049010,0.095000,0.178350,0.188650,0,0,18:09:2024,13:34:21,1120,-23.561500,-46.734983,786.000000,lev15,Almucantar
Sao_Paulo,17:07:2024,14:24:48,199,199.600556,0.056322,0.024468,0.021880,0.019043,1.446215,45.930852,46.112162,2.256259,0.017112,0.404475,4,10,8,3,4,10,8,3,4,10,8,3,4,10,8,3,0.048360,0.093500,0.174890,0.185620,0,0,18:09:2024,13:38:17,1120,-23.561500,-46.734983,786.000000,lev15,Almucantar
